JAMES	3.318	4,840,833 	1
JOHN	3.271	4,772,262 	2
ROBERT	3.143	4,585,515 	3
MICHAEL	2.629	3,835,609 	4
WILLIAM	2.451	3,575,914 	5
DAVID	2.363	3,447,525 	6
RICHARD	1.703	2,484,611 	7
CHARLES	1.523	2,221,998 	8
JOSEPH	1.404	2,048,382 	9
THOMAS	1.38	2,013,366 	10
CHRISTOPHER	1.035	1,510,025 	11
DANIEL	0.974	1,421,028 	12
PAUL	0.948	1,383,095 	13
MARK	0.938	1,368,506 	14
DONALD	0.931	1,358,293 	15
GEORGE	0.927	1,352,457 	16
KENNETH	0.826	1,205,102 	17
STEVEN	0.78	1,137,990 	18
EDWARD	0.779	1,136,531 	19
BRIAN	0.736	1,073,795 	20
RONALD	0.725	1,057,747 	21
ANTHONY	0.721	1,051,911 	22
KEVIN	0.671	978,963 	23
JASON	0.66	962,914 	24
MATTHEW	0.657	958,538 	25
GARY	0.65	948,325 	26
TIMOTHY	0.64	933,735 	27
JOSE	0.613	894,343 	28
LARRY	0.598	872,459 	29
JEFFREY	0.591	862,246 	30
FRANK	0.581	847,656 	31
SCOTT	0.546	796,593 	32
ERIC	0.544	793,675 	33
STEPHEN	0.54	787,839 	34
ANDREW	0.537	783,462 	35
RAYMOND	0.488	711,973 	36
GREGORY	0.441	643,402 	37
JOSHUA	0.435	634,648 	38
JERRY	0.432	630,271 	39
DENNIS	0.415	605,469 	40
WALTER	0.399	582,126 	41
PATRICK	0.389	567,536 	42
PETER	0.381	555,864 	43
HAROLD	0.371	541,275 	44
DOUGLAS	0.367	535,439 	45
HENRY	0.365	532,521 	46
CARL	0.346	504,801 	47
ARTHUR	0.335	488,752 	48
RYAN	0.328	478,539 	49
ROGER	0.322	469,786 	50
JOE	0.321	468,327 	51
JUAN	0.316	461,032 	52
JACK	0.315	459,573 	53
ALBERT	0.314	458,114 	54
JONATHAN	0.313	456,655 	55
JUSTIN	0.311	453,737 	56
TERRY	0.311	453,737 	57
GERALD	0.309	450,819 	58
KEITH	0.308	449,360 	59
SAMUEL	0.306	446,442 	60
WILLIE	0.302	440,606 	61
RALPH	0.282	411,427 	62
LAWRENCE	0.282	411,427 	63
NICHOLAS	0.275	401,214 	64
ROY	0.273	398,296 	65
BENJAMIN	0.27	393,920 	66
BRUCE	0.263	383,707 	67
BRANDON	0.26	379,330 	68
ADAM	0.259	377,871 	69
HARRY	0.251	366,199 	70
FRED	0.251	366,199 	71
WAYNE	0.249	363,281 	72
BILLY	0.248	361,822 	73
STEVE	0.246	358,904 	74
LOUIS	0.243	354,528 	75
JEREMY	0.242	353,069 	76
AARON	0.24	350,151 	77
RANDY	0.232	338,479 	78
HOWARD	0.23	335,561 	79
EUGENE	0.23	335,561 	80
CARLOS	0.229	334,102 	81
RUSSELL	0.224	326,807 	82
BOBBY	0.223	325,348 	83
VICTOR	0.222	323,889 	84
MARTIN	0.216	315,136 	85
ERNEST	0.215	313,677 	86
PHILLIP	0.213	310,759 	87
TODD	0.213	310,759 	88
JESSE	0.209	304,923 	89
CRAIG	0.206	300,546 	90
ALAN	0.204	297,628 	91
SHAWN	0.2	291,792 	92
CLARENCE	0.197	287,415 	93
SEAN	0.197	287,415 	94
PHILIP	0.197	287,415 	95
CHRIS	0.197	287,415 	96
JOHNNY	0.195	284,497 	97
EARL	0.193	281,580 	98
JIMMY	0.191	278,662 	99
ANTONIO	0.19	277,203 	100
DANNY	0.19	277,203 	101
BRYAN	0.19	277,203 	102
TONY	0.19	277,203 	103
LUIS	0.189	275,744 	104
MIKE	0.189	275,744 	105
STANLEY	0.186	271,367 	106
LEONARD	0.186	271,367 	107
NATHAN	0.185	269,908 	108
DALE	0.184	268,449 	109
MANUEL	0.181	264,072 	110
RODNEY	0.18	262,613 	111
CURTIS	0.18	262,613 	112
NORMAN	0.177	258,236 	113
ALLEN	0.174	253,859 	114
MARVIN	0.171	249,482 	115
VINCENT	0.168	245,105 	116
GLENN	0.167	243,647 	117
JEFFERY	0.166	242,188 	118
TRAVIS	0.166	242,188 	119
JEFF	0.166	242,188 	120
CHAD	0.165	240,729 	121
JACOB	0.165	240,729 	122
LEE	0.162	236,352 	123
MELVIN	0.162	236,352 	124
ALFRED	0.162	236,352 	125
KYLE	0.16	233,434 	126
FRANCIS	0.16	233,434 	127
BRADLEY	0.159	231,975 	128
JESUS	0.155	226,139 	129
HERBERT	0.155	226,139 	130
FREDERICK	0.154	224,680 	131
RAY	0.153	223,221 	132
JOEL	0.152	221,762 	133
EDWIN	0.148	215,926 	134
DON	0.145	211,549 	135
EDDIE	0.144	210,090 	136
RICKY	0.141	205,714 	137
TROY	0.138	201,337 	138
RANDALL	0.138	201,337 	139
BARRY	0.134	195,501 	140
ALEXANDER	0.132	192,583 	141
BERNARD	0.127	185,288 	142
MARIO	0.125	182,370 	143
LEROY	0.125	182,370 	144
FRANCISCO	0.124	180,911 	145
MARCUS	0.124	180,911 	146
MICHEAL	0.123	179,452 	147
THEODORE	0.123	179,452 	148
CLIFFORD	0.123	179,452 	149
MIGUEL	0.122	177,993 	150
OSCAR	0.122	177,993 	151
JAY	0.118	172,157 	152
JIM	0.118	172,157 	153
TOM	0.117	170,698 	154
CALVIN	0.115	167,781 	155
ALEX	0.115	167,781 	156
JON	0.115	167,781 	157
RONNIE	0.113	164,863 	158
BILL	0.112	163,404 	159
LLOYD	0.112	163,404 	160
TOMMY	0.112	163,404 	161
LEON	0.112	163,404 	162
DEREK	0.112	163,404 	163
WARREN	0.11	160,486 	164
DARRELL	0.108	157,568 	165
JEROME	0.108	157,568 	166
FLOYD	0.107	156,109 	167
LEO	0.106	154,650 	168
ALVIN	0.105	153,191 	169
TIM	0.104	151,732 	170
WESLEY	0.104	151,732 	171
GORDON	0.104	151,732 	172
DEAN	0.104	151,732 	173
GREG	0.104	151,732 	174
JORGE	0.104	151,732 	175
DUSTIN	0.103	150,273 	176
PEDRO	0.103	150,273 	177
DERRICK	0.103	150,273 	178
DAN	0.101	147,355 	179
LEWIS	0.099	144,437 	180
ZACHARY	0.099	144,437 	181
COREY	0.098	142,978 	182
HERMAN	0.097	141,519 	183
MAURICE	0.097	141,519 	184
VERNON	0.097	141,519 	185
ROBERTO	0.097	141,519 	186
CLYDE	0.095	138,601 	187
GLEN	0.094	137,142 	188
HECTOR	0.094	137,142 	189
SHANE	0.093	135,683 	190
RICARDO	0.093	135,683 	191
SAM	0.092	134,224 	192
RICK	0.091	132,765 	193
LESTER	0.091	132,765 	194
BRENT	0.09	131,307 	195
RAMON	0.09	131,307 	196
CHARLIE	0.09	131,307 	197
TYLER	0.089	129,848 	198
GILBERT	0.089	129,848 	199
GENE	0.087	126,930 	200
MARC	0.087	126,930 	201
REGINALD	0.084	122,553 	202
RUBEN	0.082	119,635 	203
BRETT	0.082	119,635 	204
ANGEL	0.082	119,635 	205
NATHANIEL	0.081	118,176 	206
RAFAEL	0.081	118,176 	207
LESLIE	0.081	118,176 	208
EDGAR	0.08	116,717 	209
MILTON	0.08	116,717 	210
RAUL	0.079	115,258 	211
BEN	0.078	113,799 	212
CHESTER	0.078	113,799 	213
CECIL	0.078	113,799 	214
DUANE	0.077	112,340 	215
FRANKLIN	0.077	112,340 	216
ANDRE	0.076	110,881 	217
ELMER	0.074	107,963 	218
BRAD	0.073	106,504 	219
GABRIEL	0.073	106,504 	220
RON	0.072	105,045 	221
MITCHELL	0.072	105,045 	222
ROLAND	0.072	105,045 	223
ARNOLD	0.072	105,045 	224
HARVEY	0.072	105,045 	225
JARED	0.071	103,586 	226
ADRIAN	0.069	100,668 	227
KARL	0.069	100,668 	228
CORY	0.068	99,209 	229
CLAUDE	0.068	99,209 	230
ERIK	0.068	99,209 	231
DARRYL	0.067	97,750 	232
JAMIE	0.066	96,291 	233
NEIL	0.066	96,291 	234
JESSIE	0.065	94,832 	235
CHRISTIAN	0.065	94,832 	236
JAVIER	0.065	94,832 	237
FERNANDO	0.065	94,832 	238
CLINTON	0.065	94,832 	239
TED	0.064	93,374 	240
MATHEW	0.064	93,374 	241
TYRONE	0.064	93,374 	242
DARREN	0.064	93,374 	243
LONNIE	0.064	93,374 	244
LANCE	0.063	91,915 	245
CODY	0.063	91,915 	246
JULIO	0.063	91,915 	247
KELLY	0.063	91,915 	248
KURT	0.062	90,456 	249
ALLAN	0.061	88,997 	250
NELSON	0.061	88,997 	251
GUY	0.06	87,538 	252
CLAYTON	0.06	87,538 	253
HUGH	0.06	87,538 	254
MAX	0.059	86,079 	255
DWAYNE	0.059	86,079 	256
DWIGHT	0.058	84,620 	257
ARMANDO	0.058	84,620 	258
FELIX	0.058	84,620 	259
JIMMIE	0.058	84,620 	260
EVERETT	0.057	83,161 	261
JORDAN	0.056	81,702 	262
IAN	0.056	81,702 	263
WALLACE	0.056	81,702 	264
KEN	0.055	80,243 	265
BOB	0.055	80,243 	266
JAIME	0.055	80,243 	267
CASEY	0.054	78,784 	268
ALFREDO	0.054	78,784 	269
ALBERTO	0.053	77,325 	270
DAVE	0.053	77,325 	271
IVAN	0.053	77,325 	272
JOHNNIE	0.052	75,866 	273
SIDNEY	0.052	75,866 	274
BYRON	0.052	75,866 	275
JULIAN	0.052	75,866 	276
ISAAC	0.051	74,407 	277
MORRIS	0.051	74,407 	278
CLIFTON	0.05	72,948 	279
WILLARD	0.05	72,948 	280
DARYL	0.05	72,948 	281
ROSS	0.05	72,948 	282
VIRGIL	0.049	71,489 	283
ANDY	0.049	71,489 	284
MARSHALL	0.049	71,489 	285
SALVADOR	0.049	71,489 	286
PERRY	0.049	71,489 	287
KIRK	0.049	71,489 	288
SERGIO	0.049	71,489 	289
MARION	0.048	70,030 	290
TRACY	0.048	70,030 	291
SETH	0.048	70,030 	292
KENT	0.048	70,030 	293
MARY	2.629	3,991,060 	1
PATRICIA	1.073	1,628,911 	2
LINDA	1.035	1,571,224 	3
BARBARA	0.98	1,487,729 	4
ELIZABETH	0.937	1,422,451 	5
JENNIFER	0.932	1,414,861 	6
MARIA	0.828	1,256,979 	7
SUSAN	0.794	1,205,364 	8
MARGARET	0.768	1,165,894 	9
DOROTHY	0.727	1,103,652 	10
LISA	0.704	1,068,736 	11
NANCY	0.669	1,015,603 	12
KAREN	0.667	1,012,567 	13
BETTY	0.666	1,011,048 	14
HELEN	0.663	1,006,494 	15
SANDRA	0.629	954,879 	16
DONNA	0.583	885,047 	17
